TIMESTAMPms	M1ATTITUDEpitch	M1ATTITUDEpitchspeed	M1ATTITUDEroll	M1ATTITUDErollspeed	M1ATTITUDEtimebootms	M1ATTITUDEyaw	M1ATTITUDEyawspeed	M1BATTERYSTATUScurrentconsumed	M1BATTERYSTATUSenergyconsumed	M1GLOBALPOSITIONINThdg	M1GLOBALPOSITIONINTvx	M1GLOBALPOSITIONINTvy	M1GLOBALPOSITIONINTvz	M1RCCHANNELSchan1raw	M1RCCHANNELSchan2raw	M1RCCHANNELSchan3raw	M1RCCHANNELSchan4raw	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
192	-3.952965438365936e-01	1.286204718053341e-02	6.273967027664185e-01	-9.766379743814468e-02	1.647749000000000e+06	3.071467161178589e+00	-5.103134363889694e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
200	-3.928395509719849e-01	1.475188322365284e-02	6.184864640235901e-01	-9.263864904642105e-02	1.647841000000000e+06	3.066250085830688e+00	-1.447094883769751e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
220	-3.928395509719849e-01	1.475188322365284e-02	6.184864640235901e-01	-9.263864904642105e-02	1.647841000000000e+06	3.066250085830688e+00	-1.447094883769751e-02	NaN	NaN	1.756300000000000e+04	4.500000000000000e+01	-4.500000000000000e+01	-1.600000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
289	-3.914540410041809e-01	2.060376107692719e-02	6.119761466979980e-01	-4.783929139375687e-02	1.647930000000000e+06	3.063129186630249e+00	-7.130669429898262e-03	NaN	NaN	1.756300000000000e+04	4.500000000000000e+01	-4.500000000000000e+01	-1.600000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
380	-3.893608450889587e-01	3.696722909808159e-02	6.089268326759338e-01	-1.511272694915533e-02	1.648021000000000e+06	3.060469865798950e+00	-5.350627005100250e-03	NaN	NaN	1.756300000000000e+04	4.500000000000000e+01	-4.500000000000000e+01	-1.600000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
472	-3.848485648632050e-01	8.039909601211548e-02	6.040588021278381e-01	-6.225039064884186e-02	1.648113000000000e+06	3.059069871902466e+00	-2.068921923637390e-02	NaN	NaN	1.756300000000000e+04	4.500000000000000e+01	-4.500000000000000e+01	-1.600000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
564	-3.755328655242920e-01	1.166271716356277e-01	5.928556323051453e-01	-1.395884007215500e-01	1.648205000000000e+06	3.058382272720337e+00	-3.694538399577141e-02	NaN	NaN	1.756300000000000e+04	4.500000000000000e+01	-4.500000000000000e+01	-1.600000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
566	-3.755328655242920e-01	1.166271716356277e-01	5.928556323051453e-01	-1.395884007215500e-01	1.648205000000000e+06	3.058382272720337e+00	-3.694538399577141e-02	NaN	NaN	1.756300000000000e+04	4.500000000000000e+01	-4.500000000000000e+01	-1.600000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
576	-3.755328655242920e-01	1.166271716356277e-01	5.928556323051453e-01	-1.395884007215500e-01	1.648205000000000e+06	3.058382272720337e+00	-3.694538399577141e-02	NaN	NaN	1.752300000000000e+04	4.900000000000000e+01	-4.200000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
656	-3.677103817462921e-01	6.456975638866425e-02	5.787484645843506e-01	-1.204329431056976e-01	1.648297000000000e+06	3.058091878890991e+00	-1.424310076981783e-02	NaN	NaN	1.752300000000000e+04	4.900000000000000e+01	-4.200000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
743	-3.643667101860046e-01	2.046497724950314e-02	5.688869357109070e-01	-1.037231385707855e-01	1.648384000000000e+06	3.054298162460327e+00	-5.041157454252243e-02	NaN	NaN	1.752300000000000e+04	4.900000000000000e+01	-4.200000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
835	-3.573001325130463e-01	4.649493843317032e-02	5.599974989891052e-01	-1.275615096092224e-01	1.648476000000000e+06	3.045009613037109e+00	-1.209464669227600e-01	NaN	NaN	1.752300000000000e+04	4.900000000000000e+01	-4.200000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
906	-3.573001325130463e-01	4.649493843317032e-02	5.599974989891052e-01	-1.275615096092224e-01	1.648476000000000e+06	3.045009613037109e+00	-1.209464669227600e-01	NaN	NaN	1.752300000000000e+04	4.900000000000000e+01	-4.200000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
927	-3.466862738132477e-01	5.673635751008987e-02	5.519638061523438e-01	-1.028500497341156e-01	1.648568000000000e+06	3.031998157501221e+00	-1.595956087112427e-01	NaN	NaN	1.752300000000000e+04	4.900000000000000e+01	-4.200000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
928	-3.466862738132477e-01	5.673635751008987e-02	5.519638061523438e-01	-1.028500497341156e-01	1.648568000000000e+06	3.031998157501221e+00	-1.595956087112427e-01	NaN	NaN	1.737200000000000e+04	5.200000000000000e+01	-4.100000000000000e+01	-2.000000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
1020	-3.340067565441132e-01	6.213425844907761e-02	5.498118400573730e-01	-2.701697871088982e-03	1.648661000000000e+06	3.017978191375732e+00	-1.547340601682663e-01	NaN	NaN	1.737200000000000e+04	5.200000000000000e+01	-4.100000000000000e+01	-2.000000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
1147	-3.208875060081482e-01	4.947260022163391e-02	5.638529658317566e-01	1.322775334119797e-01	1.648788000000000e+06	3.001179218292236e+00	-1.075335890054703e-01	NaN	NaN	1.737200000000000e+04	5.200000000000000e+01	-4.100000000000000e+01	-2.000000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
1239	-3.143762946128845e-01	1.241732947528362e-02	5.741435885429382e-01	6.372392177581787e-02	1.648880000000000e+06	2.993734121322632e+00	-2.463067136704922e-02	NaN	NaN	1.737200000000000e+04	5.200000000000000e+01	-4.100000000000000e+01	-2.000000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
1246	-3.143762946128845e-01	1.241732947528362e-02	5.741435885429382e-01	6.372392177581787e-02	1.648880000000000e+06	2.993734121322632e+00	-2.463067136704922e-02	NaN	NaN	1.737200000000000e+04	5.200000000000000e+01	-4.100000000000000e+01	-2.000000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
1281	-3.143762946128845e-01	1.241732947528362e-02	5.741435885429382e-01	6.372392177581787e-02	1.648880000000000e+06	2.993734121322632e+00	-2.463067136704922e-02	NaN	NaN	1.714200000000000e+04	4.000000000000000e+01	-5.700000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
1309	-3.143762946128845e-01	1.241732947528362e-02	5.741435885429382e-01	6.372392177581787e-02	1.648880000000000e+06	2.993734121322632e+00	-2.463067136704922e-02	NaN	NaN	1.714200000000000e+04	4.000000000000000e+01	-5.700000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1331	-3.226883709430695e-01	-1.537887156009674e-01	5.779164433479309e-01	5.084293335676193e-02	1.648972000000000e+06	2.990338325500488e+00	1.142870187759399e-01	NaN	NaN	1.714200000000000e+04	4.000000000000000e+01	-5.700000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1424	-3.430232107639313e-01	-1.741147637367249e-01	5.855050086975098e-01	1.210055798292160e-01	1.649065000000000e+06	2.987964630126953e+00	1.346317231655121e-01	NaN	NaN	1.714200000000000e+04	4.000000000000000e+01	-5.700000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1435	-3.430232107639313e-01	-1.741147637367249e-01	5.855050086975098e-01	1.210055798292160e-01	1.649065000000000e+06	2.987964630126953e+00	1.346317231655121e-01	5.920000000000000e+02	-1.000000000000000e+00	1.714200000000000e+04	4.000000000000000e+01	-5.700000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1615	-3.614725470542908e-01	-1.097825318574905e-01	5.963481068611145e-01	8.448568731546402e-02	1.649160000000000e+06	2.984834909439087e+00	8.025270700454712e-02	5.920000000000000e+02	-1.000000000000000e+00	1.714200000000000e+04	4.000000000000000e+01	-5.700000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1703	-3.670118749141693e-01	-1.050239708274603e-02	6.000728607177734e-01	1.255916617810726e-02	1.649248000000000e+06	2.980608463287354e+00	-1.690671779215336e-02	5.920000000000000e+02	-1.000000000000000e+00	1.714200000000000e+04	4.000000000000000e+01	-5.700000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1717	-3.670118749141693e-01	-1.050239708274603e-02	6.000728607177734e-01	1.255916617810726e-02	1.649248000000000e+06	2.980608463287354e+00	-1.690671779215336e-02	5.920000000000000e+02	-1.000000000000000e+00	1.714200000000000e+04	4.000000000000000e+01	-5.700000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1724	-3.670118749141693e-01	-1.050239708274603e-02	6.000728607177734e-01	1.255916617810726e-02	1.649248000000000e+06	2.980608463287354e+00	-1.690671779215336e-02	5.920000000000000e+02	-1.000000000000000e+00	1.707000000000000e+04	4.000000000000000e+01	-4.500000000000000e+01	-1.700000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1796	-3.636960983276367e-01	5.979069694876671e-02	5.999216437339783e-01	-2.182226255536079e-02	1.649341000000000e+06	2.974632501602173e+00	-6.692096590995789e-02	5.920000000000000e+02	-1.000000000000000e+00	1.707000000000000e+04	4.000000000000000e+01	-4.500000000000000e+01	-1.700000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1888	-3.486186265945435e-01	1.854666024446487e-01	5.971869230270386e-01	-4.381301812827587e-03	1.649433000000000e+06	2.970631599426270e+00	-1.117902621626854e-01	5.920000000000000e+02	-1.000000000000000e+00	1.707000000000000e+04	4.000000000000000e+01	-4.500000000000000e+01	-1.700000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
1976	-3.363069891929626e-01	6.487089395523071e-02	6.018694043159485e-01	1.213044896721840e-01	1.649521000000000e+06	2.970349311828613e+00	2.981125563383102e-02	5.920000000000000e+02	-1.000000000000000e+00	1.707000000000000e+04	4.000000000000000e+01	-4.500000000000000e+01	-1.700000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2057	-3.363069891929626e-01	6.487089395523071e-02	6.018694043159485e-01	1.213044896721840e-01	1.649521000000000e+06	2.970349311828613e+00	2.981125563383102e-02	5.920000000000000e+02	-1.000000000000000e+00	1.707000000000000e+04	4.000000000000000e+01	-4.500000000000000e+01	-1.700000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2068	-3.439591825008392e-01	-3.656920790672302e-02	6.053087711334229e-01	2.086404152214527e-02	1.649613000000000e+06	2.978397369384766e+00	2.409712076187134e-01	5.920000000000000e+02	-1.000000000000000e+00	1.707000000000000e+04	4.000000000000000e+01	-4.500000000000000e+01	-1.700000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2080	-3.439591825008392e-01	-3.656920790672302e-02	6.053087711334229e-01	2.086404152214527e-02	1.649613000000000e+06	2.978397369384766e+00	2.409712076187134e-01	5.920000000000000e+02	-1.000000000000000e+00	1.707600000000000e+04	5.200000000000000e+01	-4.600000000000000e+01	-2.500000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2159	-3.640188574790955e-01	-3.519111871719360e-02	5.987236499786377e-01	7.284618914127350e-02	1.649704000000000e+06	2.998096227645874e+00	3.663986027240753e-01	5.920000000000000e+02	-1.000000000000000e+00	1.707600000000000e+04	5.200000000000000e+01	-4.600000000000000e+01	-2.500000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2288	-3.890815675258636e-01	1.280553936958313e-01	6.065321564674377e-01	2.719529569149017e-01	1.649833000000000e+06	3.040677547454834e+00	3.820326030254364e-01	5.920000000000000e+02	-1.000000000000000e+00	1.707600000000000e+04	5.200000000000000e+01	-4.600000000000000e+01	-2.500000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2380	-3.924448192119598e-01	2.421638071537018e-01	6.140198111534119e-01	2.205598205327988e-01	1.649925000000000e+06	3.076860904693604e+00	3.144674003124237e-01	5.920000000000000e+02	-1.000000000000000e+00	1.707600000000000e+04	5.200000000000000e+01	-4.600000000000000e+01	-2.500000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2431	-3.924448192119598e-01	2.421638071537018e-01	6.140198111534119e-01	2.205598205327988e-01	1.649925000000000e+06	3.076860904693604e+00	3.144674003124237e-01	5.920000000000000e+02	-1.000000000000000e+00	1.707600000000000e+04	5.200000000000000e+01	-4.600000000000000e+01	-2.500000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2432	-3.924448192119598e-01	2.421638071537018e-01	6.140198111534119e-01	2.205598205327988e-01	1.649925000000000e+06	3.076860904693604e+00	3.144674003124237e-01	5.920000000000000e+02	-1.000000000000000e+00	1.774100000000000e+04	3.900000000000000e+01	-4.800000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2471	-3.924823105335236e-01	1.718564629554749e-01	6.174591183662415e-01	1.789110302925110e-01	1.650016000000000e+06	3.110333204269409e+00	3.023701608181000e-01	5.920000000000000e+02	-1.000000000000000e+00	1.774100000000000e+04	3.900000000000000e+01	-4.800000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2563	-3.991506695747375e-01	1.150549650192261e-01	6.191551089286804e-01	1.313177794218063e-01	1.650108000000000e+06	3.138411045074463e+00	2.719277441501617e-01	5.920000000000000e+02	-1.000000000000000e+00	1.774100000000000e+04	3.900000000000000e+01	-4.800000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2656	-4.020567536354065e-01	1.191838085651398e-01	6.186364889144897e-01	9.613052755594254e-02	1.650201000000000e+06	-3.123017072677612e+00	1.820317357778549e-01	5.920000000000000e+02	-1.000000000000000e+00	1.774100000000000e+04	3.900000000000000e+01	-4.800000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2747	-4.039312601089478e-01	4.852657765150070e-02	6.205460429191589e-01	9.410250186920166e-02	1.650292000000000e+06	-3.109070062637329e+00	1.319999992847443e-01	5.920000000000000e+02	-1.000000000000000e+00	1.774100000000000e+04	3.900000000000000e+01	-4.800000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.502000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2771	-4.039312601089478e-01	4.852657765150070e-02	6.205460429191589e-01	9.410250186920166e-02	1.650292000000000e+06	-3.109070062637329e+00	1.319999992847443e-01	5.920000000000000e+02	-1.000000000000000e+00	1.774100000000000e+04	3.900000000000000e+01	-4.800000000000000e+01	-1.900000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2788	-4.039312601089478e-01	4.852657765150070e-02	6.205460429191589e-01	9.410250186920166e-02	1.650292000000000e+06	-3.109070062637329e+00	1.319999992847443e-01	5.920000000000000e+02	-1.000000000000000e+00	1.820600000000000e+04	3.400000000000000e+01	-3.300000000000000e+01	-1.500000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2837	-4.091251790523529e-01	-7.442612200975418e-03	6.205183863639832e-01	-4.985942505300045e-03	1.650382000000000e+06	-3.103038311004639e+00	8.606465160846710e-02	5.920000000000000e+02	-1.000000000000000e+00	1.820600000000000e+04	3.400000000000000e+01	-3.300000000000000e+01	-1.500000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2931	-4.109039306640625e-01	7.738778367638588e-03	6.127539277076721e-01	-1.089875400066376e-01	1.650476000000000e+06	-3.104594707489014e+00	-2.759135887026787e-02	5.920000000000000e+02	-1.000000000000000e+00	1.820600000000000e+04	3.400000000000000e+01	-3.300000000000000e+01	-1.500000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.138400000000000e+04
2993	-4.109039306640625e-01	7.738778367638588e-03	6.127539277076721e-01	-1.089875400066376e-01	1.650476000000000e+06	-3.104594707489014e+00	-2.759135887026787e-02	5.920000000000000e+02	-1.000000000000000e+00	1.820600000000000e+04	3.400000000000000e+01	-3.300000000000000e+01	-1.500000000000000e+01	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	0.000000000000000e+00	1.139000000000000e+04
